day,capital
0,100420625.4599092
1,101761812.72697374
2,104246975.11396241
3,103498391.03154342
4,102549183.48095137
5,103871132.02753426
6,105188937.82929885
7,105978513.8339739
8,105245403.13529493
9,105522408.90533158
10,107474651.13615766
11,108288506.4923617
12,107827395.757647
13,107926069.46885352
14,107917626.9134891
15,108759627.25860325
16,107747029.07652967
17,106762818.99338432
18,107812788.62600149
19,108028890.88653876
20,109292366.41890556
21,108740201.06998535
22,108595586.30419157
23,109245438.48694524
24,110413113.45134528
25,109538012.76594053
26,110813126.9600722
27,111229097.78818882
28,111779392.5748676
29,110332027.4995209
30,111064890.08232123
31,110337637.77798446
32,110532817.70545845
33,112557382.35282923
34,112602012.66674203
35,113186247.80054845
36,113076291.12182628
37,112453061.33725747
38,112090605.40083764
39,111504208.36327314
40,111453970.98530304
41,110090066.60847092
42,108179260.06081238
43,109499808.33870137
44,108082886.8764441
45,107946080.63272154
46,107782465.87833704
47,107475170.19479461
48,106488416.75662
49,106095275.79918134
50,103805726.95044695
51,103012512.48841624
52,105066257.10759778
53,103899917.39199226
54,105920465.57339692
55,105683024.88923903
56,106944386.4231181
57,105575617.94065128
58,106649281.63983452
59,108283980.39883478
60,108385264.31289488
61,107602223.25209673
62,107729658.51967312
63,108716712.34267958
64,109220268.59085062
65,108390789.07199095
66,108700732.94312304
67,108069632.49487905
68,108697733.98102921
69,109978790.32019848
70,108896426.46743807
71,109158084.76423034
72,108471285.44858676
73,107958709.17288187
74,107573774.78711475
75,106316250.10372585
76,107702252.55028075
77,107236417.54738596
78,105876416.16741756
79,105319725.49187912
80,105595817.5627006
81,106507753.65632734
82,106081139.04161415
83,107213898.58343068
84,108573907.54826479
85,108183500.0250742
86,108582645.88217974
87,109081246.14432053
88,109205554.06355861
89,108315376.385156
90,107627614.16345534
91,107546705.28721127
92,108323127.63666254
93,109010481.54593231
94,108463268.86886306
95,107459929.10366398
96,107323244.43744545
97,107396045.32324499
98,107311932.1413784
99,107833422.05201808
100,108673587.78071545
101,108211384.22368124
102,109256764.85284911
103,109931267.72152114
104,110651158.60173734
105,110761853.07255383
106,110801714.9806787
107,110371152.61793368
108,110847745.07262059
109,110953086.47888288
110,110646795.58140457
111,109713988.1408163
112,109287858.84058511
113,108502170.0667722
114,109007978.07372223
115,107192158.71321777
116,106816399.869002
117,106118894.69884986
118,105064773.93485163
119,105364972.74542034
120,105997317.87632255
121,105216471.51363042
122,105050897.36030744
123,106060368.32429548
124,103224599.51374345
125,95245765.8382157
126,99122592.27330156
127,100124313.42329031
128,99315832.7608782
129,100934276.59035368
130,101851643.49315207
131,101798789.84408948
132,102948618.49063595
133,103810592.98734838
134,103009550.31217581
135,103910397.33850893
136,104050226.85878919
137,104574688.37360567
138,104064946.72026779
139,104365908.38640825
140,104348804.14877093
141,103706572.29015791
142,103734321.45590104
143,104146298.04783858
144,105356391.75600326
145,105245399.97125964
146,102162556.29159825
147,101857207.31387727
148,99878641.15397003
149,99473793.22799633
150,99221762.01786509
151,99756261.64113514
152,101777848.13075611
153,103694134.92641973
154,104175063.33109027
155,104921547.75131813
156,105181478.06973743
157,106973031.09891272
158,106578029.51918854
159,109029840.49333204
160,109355016.6408775
161,107593151.6914835
162,107605494.87775019
163,108007160.51684144
164,110221177.64371368
165,110027733.1015527
166,109992749.40329258
167,110061330.74985601
168,110362153.25456887
169,110195449.47791171
170,109172465.45979592
171,108926649.25122309
172,108333046.85611466
173,109298160.41310565
174,107891210.02641457
175,109133327.03233527
176,112129406.85743736
177,112734153.0531302
178,114764478.5248442
179,115686123.30221651
180,111913504.34629169
181,111276497.14159577
182,110724101.62238118
183,112277362.98625514
184,113104283.19663328
185,111454682.84048752
186,111280855.61086807
187,110564745.43116291
188,108871414.49611351
189,107482307.78112191
190,103885958.13233297
191,103582043.05317666
192,102286115.96502772
193,103276943.24618143
194,103529134.04813994
195,103751178.6688146
196,103876309.558551
197,103955675.57358047
198,104918858.4717927
199,104507128.69893289
200,104112841.95658584
201,105311671.29755175
202,103517823.37344949
203,104532887.62542744
204,107055706.15952612
205,106475881.63543119
206,107343943.05477268
207,105956575.91944927
208,101601270.75612846
209,104530231.0828379
210,104714040.60462849
211,105396844.696632
212,105297379.26493701
213,105059064.80239227
214,104304691.63346711
215,105284006.12205186
216,103647400.50522065
217,101685475.22738361
218,103577516.66989242
219,103517511.58894005
220,103340670.40770341
221,102096599.24955711
222,101969054.18706036
223,101322395.54928091
224,103823146.20365831
225,105462283.6258513
226,105713047.22245142
227,106381913.9410243
228,106688176.07460879
229,106523737.82050902
230,105070287.5325377
231,106124037.96926145
232,105775686.9448661
233,107034658.28907141
234,107481135.6114746
235,108616509.74887432
236,107454704.63918935
237,108404602.15884247
238,107224120.21172209
239,108102737.51267716
240,106771452.55221292
241,103098698.86823602
242,103648952.62653391
243,104427564.71572733
244,105386534.08273719
245,105267015.35806301
246,105286644.74898402
247,105278654.69136822
248,105250440.59073538
249,107204982.30492331
250,107769788.48777774
251,109213681.63661455
252,109614643.89558655
253,111174055.5274411
254,111356548.54713117
255,112291867.90835294
256,111728334.57771748
257,110248687.06904688
258,111150377.56059621
259,111095320.14677943
260,108491127.87290193
261,107031189.70957357
262,108220990.15232319
263,109226797.96366628
264,110761318.97389969
265,110993259.73344557
266,109204256.42070352
267,111025293.04014353
268,110722666.57155725
269,110481297.41524403
270,110853363.25676146
271,111069451.53398056
272,111384890.08166784
273,112645140.11029828
274,112317578.98196502
275,112322666.00267367
276,111280824.45175345
277,112230306.60775715
278,110810521.75632904
279,109129443.57160242
280,106037726.77457
281,106947973.8590205
282,106104573.62710378
283,104485840.57063101
284,103253939.70747654
285,97397974.49198796
286,98632629.82203689
287,96524804.04399426
288,102548281.12021352
289,101861957.79474132
290,102279952.60684952
291,102699563.00871688
292,101019278.88082874
293,101696839.78150527
294,101884155.27520457
295,101759034.93886925
296,101796992.65509923
297,104317455.39755511
298,104127034.951776
299,104941568.41609383
300,104692499.68626265
301,105272115.26467292
302,104714966.28047156
303,104738629.07969949
304,104799475.0501111
305,105512713.31275839
306,104876701.6862445
307,106264981.8872104
308,105837935.86085944
309,106310447.39105268
310,105590044.01578297
311,105185594.19402705
312,104251858.46765637
313,103869052.07664774
314,103922910.18703876
315,102673093.9883523
316,102124516.73451434
317,103861167.30210994
318,103931783.29598278
319,106740022.74879947
320,108413788.37686944
321,107733910.09998101
322,107150814.81716461
323,109788481.04716627
324,110850510.339334
325,111723815.47609513
326,113384228.10755533
327,115441333.3655897
328,115068445.87737076
329,115165057.91047966
330,116128364.86692846
331,116064780.78134362
332,116465678.84010069
333,117869437.01495808
334,118273297.62528226
335,118005570.55855039
336,120069351.95045921
337,121105143.18347225
338,121208129.55481756
339,120844990.9024071
340,121787049.0370217
341,122913490.69584246
342,122229458.78640082
343,124502537.3875806
344,123341312.94761603
345,123359596.5198212
346,124624122.12984392
347,125000693.35395958
348,126350144.26651199
349,126676933.70791458
350,126876082.24681081
351,128143428.14119367
352,127348205.40712048
353,127063049.43014978
354,127387396.5565811
355,128306381.954209
356,127480243.05923522
357,127680855.8608061
358,127633480.81450814
359,127972967.91713274
360,128310176.06567216
361,128414911.45411602
362,128266114.26455082
363,128155703.43195155
364,123622502.20578234
365,123419594.81112866
366,125012816.1660255
367,125197771.29573098
368,125678296.10538203
369,125218886.19402604
370,125624585.17793232
371,125299470.18028635
372,126305330.68098094
373,126716438.07628803
374,124607487.98083594
375,123764199.67432456
376,122952813.21043777
377,123458429.69355595
378,123345842.80995587
379,124877553.8858552
380,124543118.16600013
381,124271620.97961843
382,124195009.92125623
383,123525212.95226507
384,121808227.45528336
385,122492247.59385258
386,123519101.5213624
387,124253208.45911194
388,124843098.92962049
389,125240218.42142297
390,126575565.67761378
391,127554339.46360879
392,127792565.2192136
393,130005010.34807135
394,131315472.53269133
395,131519753.19428948
396,130607505.74299218
397,131271780.04635242
398,131008644.02951147
399,131148395.76047306
400,131029497.72080015
401,130373110.76787995
402,130660259.58162172
403,128208725.77415901
404,129013868.77931288
405,128830537.93002929
406,129547749.82607259
407,131567928.86297373
408,131474559.19063638
409,132883498.13039222
410,134998357.4892302
411,136819647.70412835
412,138094716.05840564
413,138074537.29042092
414,140134437.08138663
415,140460555.86791775
416,142728841.0696194
417,141896910.6590607
418,144616307.67906466
419,146293754.4098524
420,146134812.05888104
421,147601833.71130037
422,146445173.55111584
423,145529053.81963474
424,147020666.2332218
425,146438028.01581988
426,143765699.13666174
427,145261285.0191416
428,143004916.95332485
429,146135557.20964673
430,146935084.5010337
431,149380497.02527577
432,150447209.66749892
433,146062411.12099352
434,147015986.2124928
435,143351350.1371708
436,142982103.1899278
437,144761285.28572258
438,140288581.0355172
439,139992827.41992748
440,141082091.38884065
441,143812870.63623637
442,144747936.11834842
443,144536097.74978656
